datetime,AMB_TEMP,PM2.5,RAINFALL,RH,WIND_SPEED,WS_HR,DLT_AMB_TEMP,DLT_RAINFALL,DLT_RH,DLT_WIND_SPEED,DLT_WS_HR,DLT_PM2.5,LAST_HOUR_PM2.5
2016/1/1 0:00,16,66,0,76,1.700000048,1.399999976,0,0,0,0,0,0,0
2016/1/1 1:00,16,56,0,77,2.200000048,1.200000048,0,0,1,0.5,-0.199999928,-10,66
2016/1/1 2:00,16,57,0,79,2.099999905,1.600000024,0,0,2,-0.100000143,0.399999976,1,56
2016/1/1 3:00,16,65,0,79,1.899999976,2,0,0,0,-0.199999929,0.399999976,8,57
2016/1/1 4:00,16,67,0,80,2.099999905,1.799999952,0,0,1,0.199999929,-0.200000048,2,65
2016/1/1 5:00,16,61,0,80,2.099999905,1.5,0,0,0,0,-0.299999952,-6,67
2016/1/1 6:00,16,42,0,81,2.700000048,2.099999905,0,0,1,0.600000143,0.599999905,-19,61
2016/1/1 7:00,17,38,0,79,2.400000095,2.200000048,1,0,-2,-0.299999953,0.100000143,-4,42
2016/1/1 8:00,18,39,0,74,3.5,3.299999952,1,0,-5,1.099999905,1.099999904,1,38
2016/1/1 9:00,20,43,0,67,2.5,2,2,0,-7,-1,-1.299999952,4,39
2016/1/1 10:00,22,48,0,62,2.900000095,1.200000048,2,0,-5,0.400000095,-0.799999952,5,43
2016/1/1 11:00,23,49,0,60,4.099999905,0.699999988,1,0,-2,1.19999981,-0.50000006,1,48
2016/1/1 12:00,23,43,0,61,4.800000191,0.600000024,0,0,1,0.700000286,-0.099999964,-6,49
2016/1/1 13:00,24,32,0,62,4.599999905,1.5,1,0,1,-0.200000286,0.899999976,-11,43
2016/1/1 14:00,23,25,0,66,5.5,1.200000048,-1,0,4,0.900000095,-0.299999952,-7,32
2016/1/1 15:00,22,24,0,70,6.800000191,1.5,-1,0,4,1.300000191,0.299999952,-1,25
2016/1/1 16:00,21,28,0,76,5.599999905,2.099999905,-1,0,6,-1.200000286,0.599999905,4,24
2016/1/1 17:00,20,32,0,80,4.400000095,2.099999905,-1,0,4,-1.19999981,0,4,28
2016/1/1 18:00,19,24,0,82,3.799999952,1.799999952,-1,0,2,-0.600000143,-0.299999953,-8,32
2016/1/1 19:00,19,27,0,83,5.300000191,1.5,0,0,1,1.500000239,-0.299999952,3,24
2016/1/1 20:00,19,26,0,84,4.099999905,2.5,0,0,1,-1.200000286,1,-1,27
2016/1/1 21:00,20,38,0,84,4.199999809,2.700000048,1,0,0,0.099999904,0.200000048,12,26
2016/1/1 22:00,20,39,0,84,4.199999809,3.700000048,0,0,0,0,1,1,38
2016/1/1 23:00,20,46,0,83,3.799999952,3.5,0,0,-1,-0.399999857,-0.200000048,7,39
2016/1/2 0:00,20,46,0,83,4.099999905,3.400000095,0,0,0,0.299999953,-0.099999905,0,46
2016/1/2 1:00,19,49,0,84,3.5,3.700000048,-1,0,1,-0.599999905,0.299999953,3,46
2016/1/2 2:00,19,46,0,84,2.799999952,2.700000048,0,0,0,-0.700000048,-1,-3,49
2016/1/2 3:00,19,46,0,83,2.700000048,2,0,0,-1,-0.099999904,-0.700000048,0,46
2016/1/2 4:00,19,46,0,83,2.700000048,2.900000095,0,0,0,0,0.900000095,0,46
2016/1/2 5:00,19,43,0,83,3.700000048,3.299999952,0,0,0,1,0.399999857,-3,46
2016/1/2 6:00,19,41,0,83,3.299999952,2.5,0,0,0,-0.400000096,-0.799999952,-2,43
2016/1/2 7:00,19,35,0,83,3.400000095,3.299999952,0,0,0,0.100000143,0.799999952,-6,41
2016/1/2 8:00,20,36,0,81,3.200000048,3.299999952,1,0,-2,-0.200000047,0,1,35
2016/1/2 9:00,21,32,0,74,4.199999809,2.900000095,1,0,-7,0.999999761,-0.399999857,-4,36
2016/1/2 10:00,22,40,0,69,4.300000191,2.200000048,1,0,-5,0.100000382,-0.700000047,8,32
2016/1/2 11:00,23,41,0,68,3.799999952,1.5,1,0,-1,-0.500000239,-0.700000048,1,40
2016/1/2 12:00,23,49,0,69,2.599999905,1,0,0,1,-1.200000047,-0.5,8,41
2016/1/2 13:00,22,47,0,74,2.599999905,0.800000012,-1,0,5,0,-0.199999988,-2,49
2016/1/2 14:00,21,54,0,81,2.700000048,0.600000024,-1,0,7,0.100000143,-0.199999988,7,47
2016/1/2 15:00,20,56,0,85,3.099999905,0.800000012,-1,0,4,0.399999857,0.199999988,2,54
2016/1/2 16:00,20,52,0,86,2.5,0.699999988,0,0,1,-0.599999905,-0.100000024,-4,56
2016/1/2 17:00,20,48,0,87,2.099999905,0.899999976,0,0,1,-0.400000095,0.199999988,-4,52
2016/1/2 18:00,20,53,0,87,1.799999952,0.300000012,0,0,0,-0.299999953,-0.599999964,5,48
2016/1/2 19:00,20,57,0,87,0.699999988,0.600000024,0,0,0,-1.099999964,0.300000012,4,53
2016/1/2 20:00,20,53,0,88,1.5,0.800000012,0,0,1,0.800000012,0.199999988,-4,57
2016/1/2 21:00,20,46,0,89,1.799999952,1.5,0,0,1,0.299999952,0.699999988,-7,53
2016/1/2 22:00,20,47,0,89,1.299999952,1,0,0,0,-0.5,-0.5,1,46
2016/1/2 23:00,20,46,0.200000003,90,2.400000095,0.600000024,0,0.200000003,1,1.100000143,-0.399999976,-1,47
2016/1/3 0:00,19,38,0.400000006,92,1.5,1.799999952,-1,0.200000003,2,-0.900000095,1.199999928,-8,46
2016/1/3 1:00,19,32,0,92,1.399999976,0.699999988,0,-0.400000006,0,-0.100000024,-1.099999964,-6,38
2016/1/3 2:00,19,24,0,92,2.200000048,0.400000006,0,0,0,0.800000072,-0.299999982,-8,32
2016/1/3 3:00,19,22,0,92,3,1.899999976,0,0,0,0.799999952,1.49999997,-2,24
2016/1/3 4:00,19,18,0,92,2.799999952,2.200000048,0,0,0,-0.200000048,0.300000072,-4,22
2016/1/3 5:00,19,26,1.200000048,92,2.200000048,1,0,1.200000048,0,-0.599999904,-1.200000048,8,18
2016/1/3 6:00,19,29,2.200000048,92,2.700000048,1.799999952,0,1,0,0.5,0.799999952,3,26
2016/1/3 7:00,19,29,0.400000006,92,2.5,1.100000024,0,-1.800000042,0,-0.200000048,-0.699999928,0,29
2016/1/3 8:00,20,24,0,91,1.899999976,0.600000024,1,-0.400000006,-1,-0.600000024,-0.5,-5,29
2016/1/3 9:00,21,22,0.200000003,90,2.5,1.299999952,1,0.200000003,-1,0.600000024,0.699999928,-2,24
2016/1/3 10:00,21,19,2,89,0.800000012,0.5,0,1.799999997,-1,-1.699999988,-0.799999952,-3,22
2016/1/3 11:00,20,16,3.400000095,92,1.600000024,1.399999976,-1,1.400000095,3,0.800000012,0.899999976,-3,19
