datetime,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WIND_DIREC,WIND_SPEED
2012-01-01 00:00:00,15,0.19,-.5*,7.4*,6.8*,33,40,24,0.0,77,2.6,41,4.6
2012-01-01 01:00:00,15,0.19,-.2*,8.6*,8.4*,32,55,43,0.0,75,2.5,37,3.9
2012-01-01 02:00:00,16,0.19,-.3*,9.7*,9.4*,30,66,60,0.0,74,2.7,45,4.2
2012-01-01 03:00:00,16,0.19,0.6,9.7,10,30,66,55,0.0,73,2.7,35,5.2
2012-01-01 04:00:00,15,0.21,1,9.5,10,30,58,41,0.0,74,2.6,45,4.2
2012-01-01 05:00:00,15,0.22,0.9,8.7,9.6,29,50,31,0.0,75,2.4,44,3.6
2012-01-01 06:00:00,15,0.22,1.1,8.3,9.4,29,52,33,0.0,76,2.4,36,4.2
2012-01-01 07:00:00,15,0.22,1.7,8.7,10,30,49,31,0.0,74,2.7,39,4.7
2012-01-01 08:00:00,16,0.25,2,9.3,11,31,44,33,0.0,72,3.1,43,4.6
2012-01-01 09:00:00,17,0.26,2.5,9.2,12,34,48,31,0.0,67,3.4,44,5.7
2012-01-01 10:00:00,19,0.28,3,9,12,38,56,33,0.0,63,3.7,42,5.2
2012-01-01 11:00:00,20,0.34,2.6,9.8,12,43,63,31,0.0,61,4.8,89,5.9
2012-01-01 12:00:00,20,0.37,2.6,9.8,12,46,74,38,0.0,61,5.5,157,5
2012-01-01 13:00:00,19,0.4,2.9,13,16,42,88,45,0.0,63,8.1,110,8.4
2012-01-01 14:00:00,18,0.39,3.8,14,18,41,103,51,0.0,64,9.3,59,7.8
2012-01-01 15:00:00,18,0.33,2,9.2,11,44,104,54,0.0,63,4.2,49,4.9
2012-01-01 16:00:00,17,0.34,1.5,12,13,40,99,57,0.0,64,3.8,57,4.3
2012-01-01 17:00:00,16,0.38,1.3,14,16,40,92,58,0.0,67,4.4,50,4.7
2012-01-01 18:00:00,15,0.38,1.1,16,17,37,82,60,0.0,68,4.3,39,4.8
2012-01-01 19:00:00,15,0.37,1.3,13,14,38,79,58,0.0,69,4,40,4.6
2012-01-01 20:00:00,15,0.36,1,12,13,39,75,51,0.0,70,3.8,52,3.9
2012-01-01 21:00:00,14,0.37,0.9,11,12,39,76,54,0.0,70,4,44,4.2
2012-01-01 22:00:00,14,0.39,1.1,11,12,38,81,56,0.0,72,3.9,40,3.3
2012-01-01 23:00:00,14,0.41,1.2,10,11,38,86,67,0.0,73,4,40,3.8
2012-01-02 00:00:00,14,0.42,1,10,11,38,98,67,0.0,74,4.1,40,3.7
2012-01-02 01:00:00,14,0.44,1,10,11,36,101,73,0.0,71,4.7,43,4.4
2012-01-02 02:00:00,14,0.44,0.8,11,12,33,101,75,0.0,69,5.2,43,3.8
2012-01-02 03:00:00,14,0.43,1.2,9,10,32,95,79,0.0,69,4.8,44,3.6
2012-01-02 04:00:00,14,0.45,0.9,9,9.9,31,95,78,0.0,68,5.3,66,3.5
2012-01-02 05:00:00,14,0.43,0.6,10,11,31,95,80,0.0,66,5.6,39,3.6
2012-01-02 06:00:00,14,0.42,0.8,8.5,9.3,32,100,78,0.0,66,4.9,41,3.1
2012-01-02 07:00:00,14,0.41,0.9,10,11,32,100,75,0.0,65,4.7,38,2.9
2012-01-02 08:00:00,15,0.44,1.8,14,16,29,101,71,0.0,64,4.6,40,3.2
2012-01-02 09:00:00,16,0.46,3.1,15,18,31,95,68,0.0,62,4.9,40,2.4
