datetime,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WIND_DIREC,WIND_SPEED
2012-01-01 00:00:00,15,0.38,1.7,15,16,23,30,28,0.0,75,2.2,47,2.2
2012-01-01 01:00:00,15,0.36,1.8,12,14,27,29,32,0.0,73,2.2,34,1.8
2012-01-01 02:00:00,15,0.28,1.6,9.5,11,30,22,31*,0.0,71,2,38,2.4
2012-01-01 03:00:00,15,0.26,1.4,7,8.4,31,25,22,0.0,71,1.9,37,2.2
2012-01-01 04:00:00,15,0.27,1.4,7.2,8.6,30,30,22,0.0,72,1.7,43,1.8
2012-01-01 05:00:00,15,0.29,1.4,7.6,9,28,37,25,0.0,72,1.7,39,1.8
2012-01-01 06:00:00,15,0.35,1.6,10,12,26,32,30,0.0,72,1.6,41,2.1
2012-01-01 07:00:00,15,0.47,2,13,15,24,35,27,0.0,71,1.8,34,1.4
2012-01-01 08:00:00,16,0.51,3.1,13,16,25,32,29,0.0,69,1.8,39,2.3
2012-01-01 09:00:00,18,0.46,3.8,9.5,13,31,38,28,0.0,63,1.9,50,2.2
2012-01-01 10:00:00,19,0.44,3.5,9.4,13,34,36,34,0.0,58,2.5,45,2.4
2012-01-01 11:00:00,20,0.43,3.6,8.3,12,40,43,32,0.0,55,2.3,48,3.9
2012-01-01 12:00:00,21,0.42,2.6,8,11,44,45,27,0.0,53,2.8,44,3.2
2012-01-01 13:00:00,20,0.42,2.7,9,12,44,52,34,0.0,57,3.5,53,5.4
2012-01-01 14:00:00,19,0.45,3.7,11,15,39,75,44,0.0,59,3.3,44,4.8
2012-01-01 15:00:00,19,0.49,3.2,12,15,34,81,49,0.0,59,3.2,44,2.5
2012-01-01 16:00:00,18,0.52,3,15,18,31,86,48,0.0,61,3.3,42,3.5
2012-01-01 17:00:00,16,0.6,2.2,19,21,29,74,47,0.0,64,3.5,44,3.6
2012-01-01 18:00:00,15,0.63,2,21,23,29,76,55,0.0,64,3.4,34,2.4
2012-01-01 19:00:00,15,0.6,2,19,21,30,73,58,0.0,65,3.7,40,2.5
2012-01-01 20:00:00,15,0.58,2.3,19,21,30,67,59,0.0,66,3.3,35,2.3
2012-01-01 21:00:00,14,0.57,1.9,19,21,29,63,60,0.0,66,3.2,34,1.8
2012-01-01 22:00:00,14,0.53,1.6,15,17,33,65,55,0.0,67,3.1,41,1.2
2012-01-01 23:00:00,14,0.52,1.3,14,16,34,66,58,0.0,69,3.1,37,0.9
2012-01-02 00:00:00,14,0.45,1.1,11,12,37,72,60,0.0,69,3,34,1.7
2012-01-02 01:00:00,14,0.45,1.3,9.9,11,35,77,65,0.0,69,4,33,1.3
2012-01-02 02:00:00,14,0.45,1.2,8.4,9.7,33,80,68,0.0,67,5,42,1.5
2012-01-02 03:00:00,14,0.44,1.1,8.2,9.3,31,79,67,0.0,66,4.9,37,1.2
2012-01-02 04:00:00,14,0.43,1.3,8.4,9.6,30,69,68,0.0,66,4.6,39,1.9
2012-01-02 05:00:00,14,0.47,1.3,9,10,29,71,68,0.0,64,4.6,36,1.6
2012-01-02 06:00:00,14,0.53,1.6,15,16,24,69,72,0.0,63,4.7,37,1.5
2012-01-02 07:00:00,15,0.92,6.1,27,33,15,74,72,0.0,62,5.8,56,1.1
2012-01-02 08:00:00,15,0.81,7.5,28,35,15,80,76,0.0,61,7,35,0.6
2012-01-02 09:00:00,16,0.71,9.8,25,35,20,87,73,0.0,59,5.8,29,0.7
2012-01-02 10:00:00,17,0.63,9.8,25,35,23,90,74,0.0,58,6,317,1
2012-01-02 11:00:00,19,0.56,7.5,22,29,32,85,65,0.0,56,5.8,315,1.4
2012-01-02 12:00:00,19,0.57,4.3,17,22,42,88,69,0.0,53,4.8,43,2.7
2012-01-02 13:00:00,19,0.48,2.3,14,16,47,89,67,0.0,53,4.3,57,1.6
2012-01-02 14:00:00,19,0.47,2.8,17,20,43,92,64,0.0,52,4.4,37,2.6
2012-01-02 15:00:00,19,0.48,3.2,21,24,37,82,50,0.0,52,4.9,41,3
2012-01-02 16:00:00,18,0.59,3.5,26,29,29,77,49,0.0,54,4.8,33,2
2012-01-02 17:00:00,17,0.72,2.7,25,28,21,75,56,0.0,68,4.2,38,2.2
2012-01-02 18:00:00,16,0.68,2.5,25,28,18,80,67,0.0,71,4.1,33,2.2
2012-01-02 19:00:00,16,0.79,3.3,31,34,12,83,64,0.0,69,4.8,158,0.6
2012-01-02 20:00:00,16,0.83,5,33,38,5.9,86,59,0.0,69,4.7,301,1.9
2012-01-02 21:00:00,15,0.73,10,36,46,2.5,86,60,0.0,71,7.6,38,2.1
2012-01-02 22:00:00,15,0.6,2.9,29,32,10,90,65,0.0,71,5.1,43,1.2
2012-01-02 23:00:00,15,0.54,4.2,30,34,8.2,81,63,0.0,70,6.1,54,0.9
2012-01-03 00:00:00,15,0.55,1.7,26,28,8.1,75,62,0.0,72,4.3,209,0.5
2012-01-03 01:00:00,14,0.52,1.6,27,29,5.5,73,55,0.0,73,3.3,52,0.5
2012-01-03 02:00:00,14,0.57,2.6,30,33,1.2,75,61,0.0,75,3.7,51,0.5
2012-01-03 03:00:00,14,0.61,8.9,29,38,0.9,78,54,0.0,76,4.5,90,0.5
2012-01-03 04:00:00,14,0.56,9.1,27,36,0.9,72,67,0.0,76,4.4,45,0.5
2012-01-03 05:00:00,13,0.6,21,26,47,1,75,60,0.0,76,3.8,174,0.5
2012-01-03 06:00:00,13,0.81,22,26,47,1.1,67,65,0.0,77,3.2,51,0.6
2012-01-03 07:00:00,14,1.31,31,24,56,2.6,71,52,0.0,77,3.6,74,0.5
2012-01-03 08:00:00,16,0.98,18,20,38,8.5,69,57,0.0,72,4,77,0.6
2012-01-03 09:00:00,18,0.68,8.2,16,24,21,74,53,0.0,66,3.2,355,1.1
2012-01-03 10:00:00,19,0.67,6.4,20,26,35,73,54,0.0,62,3.4,263,1.1
2012-01-03 11:00:00,21,0.55,6,20,26,44,69,50,0.0,58,5,288,2.2
2012-01-03 12:00:00,21,0.64,6.5,21,27,41,69,51,0.0,57,11,279,2.4
2012-01-03 13:00:00,21,0.46,5.6,17,22,47,58,47,0.0,56,8.2,339,2.5
2012-01-03 14:00:00,21,.36#,3.1#,10#,13#,48#,0#,0#,0.0,59,4.4#,43,3.4
2012-01-03 15:00:00,20,0.36,2.8#,12#,14#,41,57,28,0.0,63,3.4,44,2.7
2012-01-03 16:00:00,19,0.42,2.5,18,20,29,58,21,0.0,69,3.2,50,3.2
2012-01-03 17:00:00,18,0.56,2.2,23,25,20,66,27,0.0,71,3,42,2.6
2012-01-03 18:00:00,17,0.6,2.6,26,28,15,64,32,0.0,71,2.9,48,2.3
