datetime,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WIND_DIREC,WIND_SPEED
2012-01-01 00:00:00,16,0.26,1.1,12,13,20,46,18,0.0,79,2.2,34,1.5
2012-01-01 01:00:00,16,0.28,1,13,14,17,48,17,0.0,79,2.7,333,1.2
2012-01-01 02:00:00,16,0.29,1.7,13,14,17,50,25,0.0,79,2.7,29,2.1
2012-01-01 03:00:00,16,0.29,-.6*,11*,10*,17,53,33,0.0,79,2.6,41,1.2
2012-01-01 04:00:00,16,0.32,-.4*,11*,11*,14,56,33,0.0,80,2.5,35,1.5
2012-01-01 05:00:00,16,0.31,-.4*,11*,11*,12,63,33,0.0,81,2.2,42,2.1
2012-01-01 06:00:00,16,0.24,-.2*,8.4*,8.2*,19,62,28,0.0,78,2.7,29,1.7
2012-01-01 07:00:00,16,0.26,-.1*,9.2*,9.1*,19,55,25,0.0,78,2.5,39,2.4
2012-01-01 08:00:00,16,0.27,1,9.5,11,21,47,27,0.0,76,2.8,7.4,2.7
2012-01-01 09:00:00,18,0.28,1.6,8.3,9.9,23,38,26,0.0,72,2.7,25,3
2012-01-01 10:00:00,19,0.28,1.6,7.9,9.4,27,37,27,0.0,67,3,35,2.2
2012-01-01 11:00:00,20,0.29,1.8,8.8,11,32,32,28,0.0,63,2.7,336,2.7
2012-01-01 12:00:00,21,0.3,3.4,12,16,40,35,19,0.0,59,2.9,31,2.3
2012-01-01 13:00:00,22,0.3,5.9,15,21,48,39,21,0.0,56,3.1,359,2
2012-01-01 14:00:00,21,0.4,1,14,15,45,69,34,0.0,59,3.8,50,4.2
2012-01-01 15:00:00,20,0.4,2.1,15,17,39,95,56,0.0,62,3.8,43,3.5
2012-01-01 16:00:00,20,0.43,1.4,15,17,35,110,65,0.0,62,3.7,22,3.1
2012-01-01 17:00:00,18,0.52,-.4*,18*,18*,26,107,61,0.0,66,3.3,353,2.7
2012-01-01 18:00:00,16,0.51,-.4*,20*,19*,22,96,61,0.0,70,3.1,8.1,2.4
2012-01-01 19:00:00,16,0.53,-.6*,21*,20*,20,89,65,0.0,72,2.9,36,1.7
2012-01-01 20:00:00,15,0.5,-.4*,19*,19*,21,81,59,0.0,73,2.9,23,1.2
2012-01-01 21:00:00,15,0.53,-.5*,20*,19*,20,86,56,0.0,73,3.1,4.6,0.8
2012-01-01 22:00:00,15,0.48,-.4*,17*,16*,22,94,50,0.0,73,3.2,20,0.7
2012-01-01 23:00:00,14,0.48,-.5*,16*,16*,20,96,53,0.0,75,2.9,359,1.6
2012-01-02 00:00:00,14,0.44,-.6*,17*,17*,14,85,48,0.0,77,2.5,37,1.3
2012-01-02 01:00:00,14,0.45,-.8*,17*,16*,9.2,74,50,0.0,80,2.4,47,1.1
2012-01-02 02:00:00,14,0.4,-.2*,13*,12*,21,68,53,0.0,77,2.7,25,1.2
2012-01-02 03:00:00,14,0.41,1.7,12,14,18,71,53,0.0,76,2.9,16,1.2
2012-01-02 04:00:00,14,0.43,1.9,13,14,13,77,53,0.0,77,2.9,28,1.1
2012-01-02 05:00:00,14,0.43,1.5,11,12,15,71,47,0.0,77,3.1,49,0.6
2012-01-02 06:00:00,14,0.45,1.9,11,13,18,73,50,0.4,78,3.2,10,0.8
2012-01-02 07:00:00,14,0.6,4.4,18,22,10,74,51,0.0,82,3,21,1.1
2012-01-02 08:00:00,15,0.61,6.2,17,23,14,81,60,0.0,79,4.2,32,1.1
2012-01-02 09:00:00,16,0.55,9.1,17,26,16,89,63,0.0,76,5.4,24,1.2
2012-01-02 10:00:00,17,0.55,6.7,16,23,18,94,68,0.0,75,4.9,275,1.2
2012-01-02 11:00:00,17,0.64,6.8,19,26,20,103,70,0.0,73,4.7,193,0.8
2012-01-02 12:00:00,18,0.6,5.6,21,27,26,106,82,0.0,71,5.6,52,1.2
2012-01-02 13:00:00,19,0.56,4.2,20,24,33,111,89,0.0,67,5.9,105,0.9
2012-01-02 14:00:00,19,0.52,2.7,17,19,44,117,96,0.0,64,5.1,49,1.5
2012-01-02 15:00:00,19,0.52,2.2,18,20,49,124,99,0.0,62,5.1,28,1.6
2012-01-02 16:00:00,19,0.57,1.9,24,26,38,131,103,0.0,61,4.7,351,2.6
2012-01-02 17:00:00,18,0.61,2.5,30,33,22,136,94,0.0,62,4.2,19,2.3
2012-01-02 18:00:00,17,0.58,2.6,29,32,16,135,88,0.0,68,4.1,32,2.4
2012-01-02 19:00:00,17,0.56,1.7,27,28,13,128,75,0.0,73,4,30,1.4
2012-01-02 20:00:00,16,0.64,2.8,30,33,8.2,117,84,0.0,73,4.8,127,0.8
2012-01-02 21:00:00,16,0.86,12,36,48,2.5,113,86,0.0,73,6,318,1.8
2012-01-02 22:00:00,15,0.56,4,26,30,6.5,111,90,0.0,79,3.7,119,1.1
2012-01-02 23:00:00,15,0.63,4.2,30,34,2.8,108,77,0.0,78,5.1,245,0.9
2012-01-03 00:00:00,16,0.64,5,31,35,2.5,101,67,0.0,77,5.2,285,0.8
2012-01-03 01:00:00,15,0.59,3.5,32,35,2.8,99,64,0.0,76,5.5,29,0.7
2012-01-03 02:00:00,15,0.59,5.1,29,34,2,106,61,0.0,79,4.5,0.3,1.2
2012-01-03 03:00:00,14,0.59,7,24,31,1.9,102,56,0.0,82,3.5,348,1.9
2012-01-03 04:00:00,13,0.57,8.4,24,32,1.8,97,53,0.0,82,3.5,119,0.9
2012-01-03 05:00:00,14,0.63,10,23,33,2.3,84,56,0.0,83,4.6,313,0.5
2012-01-03 06:00:00,14,0.75,16,22,38,2.4,85,62,0.0,83,4.3,15,0.6
2012-01-03 07:00:00,14,1.21,40,21,61,3.4,85,60,0.0,82,4.3,27,1
2012-01-03 08:00:00,15,1.26,42,28,71,6.7,101,65,0.0,78,5.2,111,0.8
2012-01-03 09:00:00,17,0.68,9.9,18,28,19,101,65,0.0,71,6,183,1.1
2012-01-03 10:00:00,20,0.62,3.9,14,18,38,102,65,0.0,62,3.8,277,2
2012-01-03 11:00:00,21,0.53,3.6,16,19,44,97,60,0.0,59,4.7,247,1.4
2012-01-03 12:00:00,22,0.53,2.5,14,16,59,99,62,0.0,56,4.9,326,2
2012-01-03 13:00:00,22,0.48,,,,65#,111,67,0.0,57,4.8,349,2.8
2012-01-03 14:00:00,22,.44#,.2#,,-1.4#,63,111,68,0.0,55,1.1#,11,2.5
2012-01-03 15:00:00,22,0.47,-4.4#,12#,7.4#,65,110,68,0.0,54,4.1#,25,2.6
2012-01-03 16:00:00,21,0.52,-2.1#,21#,19#,49,105,66,0.0,61,6.3#,319,2.5
2012-01-03 17:00:00,19,.51#,1.9,26,28,27#,106,69,0.0,71,3.6,30,3.3
2012-01-03 18:00:00,18,0.39,2.4,20,22,22,106,52,0.0,76,2.2,31,0.9
2012-01-03 19:00:00,17,0.48,3.2,26,30,12,96,50,0.0,78,2.5,31,1.1
2012-01-03 20:00:00,17,0.51,3.8,28,32,8.4,91,38,0.0,77,2.7,8.8,1.5
2012-01-03 21:00:00,17,0.49,5.4,30,35,5.9,83,50,0.0,76,2.6,37,1.4
2012-01-03 22:00:00,16,0.38,3,21,24,14,74,39,0.0,76,2.2,34,2
2012-01-03 23:00:00,16,0.4,2.9,21,24,11,58,33,0.0,77,2.6,30,1.5
2012-01-04 00:00:00,16,0.36,3.2,19,22,14,49,25,0.0,77,2.8,0.5,2.3
2012-01-04 01:00:00,16,0.37,3,16,19,17,42,29,0.0,77,3.4,350,3.2
2012-01-04 02:00:00,15,0.42,3.1,15,18,18,40,32,0.0,76,4,317,3.2
2012-01-04 03:00:00,15,0.39,2.1,9.1,11,27,45,35,0.0,73,3.9,43,4.3
2012-01-04 04:00:00,14,0.38,1.7,7.6,9.2,31,55,39,0.0,73,3.9,33,3.8
2012-01-04 05:00:00,14,0.46,1.6,7.7,9.3,28,47,37,0.0,74,4.7,29,4.3
2012-01-04 06:00:00,13,0.52,1.9,11,13,21,38,32,0.0,74,5.2,40,3.6
2012-01-04 07:00:00,13,0.56,2.7,13,16,19,29,23,0.0,74,5.3,44,3.2
2012-01-04 08:00:00,13,0.58,4.7,16,21,17,33,17,0.0,72,5.6,317,3.1
2012-01-04 09:00:00,14,0.63,5.4,18,23,17,40,14,0.0,71,5.2,33,3.1
2012-01-04 10:00:00,14,0.67,6.5,19,25,17,43,16,0.0,69,5.6,45,3.3
2012-01-04 11:00:00,15,0.71,8,20,28,20,47,21,0.0,67,5.8,24,3.4
2012-01-04 12:00:00,15,.69#,5.8#,21#,27#,10#,50,24,0.0,65,5.3#,26,3.8
2012-01-04 13:00:00,15,.59#,5.5#,17#,22#,13,,,0.0,64,3.8,0#,0#
2012-01-04 14:00:00,15,.56#,5.9#,17#,23#,18,52,28,0.0,63,4.1,33#,4.3#
2012-01-04 15:00:00,15,0.52,4.8,19,24,15,60,37,0.0,64,4.3,31,4.2
2012-01-04 16:00:00,13,0.53,5,22,27,11,64,43,0.0,66,4.6,26,3.2
2012-01-04 17:00:00,13,0.62,5.4,25,31,6.6,72,45,0.0,67,4.6,360,3.3
2012-01-04 18:00:00,12,0.62,5,27,32,5.2,72,48,0.0,68,4.6,35,3.1
2012-01-04 19:00:00,12,0.58,2.8,22,25,8.6,71,50,0.0,68,4.6,38,2
2012-01-04 20:00:00,12,0.59,2.6,22,24,8.5,64,54,0.0,69,5,29,2.6
2012-01-04 21:00:00,12,0.6,2.7,22,25,6.9,62,54,0.0,69,5.3,25,1.8
2012-01-04 22:00:00,12,0.6,2.9,22,25,6.8,63,55,0.0,69,5.5,32,2.2
