datetime,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WIND_DIREC,WIND_SPEED
2012-01-01 00:00:00,16,0.19,0.8,10,11,33,38,26,0.0,77,3.3,39,6.7
2012-01-01 01:00:00,16,0.21,0.6,11,12,29,44,23,0.0,76,4.2,44,5.1
2012-01-01 02:00:00,16,0.23,0.9,11,12,30,40,22,0.0,75,3.5,38,6.4
2012-01-01 03:00:00,16,0.24,1.6,9,11,30,38,23,0.0,75,3.3,37,5.5
2012-01-01 04:00:00,15,0.27,1.3,9.8,11,28,40,25,0.0,75,3.3,44,5.4
2012-01-01 05:00:00,15,0.25,1.1,13,14,26,37,28,0.0,76,4,51,5.4
2012-01-01 06:00:00,16,0.25,1.4,12,14,27,35,25,0.0,75,3.9,38,5.7
2012-01-01 07:00:00,16,0.27,2,14,16,25,42,22,0.0,75,4.6,39,6.3
2012-01-01 08:00:00,16,0.28,3,12,15,28,44,25,0.0,72,4,44,6.9
2012-01-01 09:00:00,17,0.3,3.5,9.5,13,34,48,30,0.0,68,3.6,40,7.8
2012-01-01 10:00:00,19,0.38,3.5,8,12,39,59,33,0.0,65,3.8,56,7.6
2012-01-01 11:00:00,19,0.48,3.4,7.9,11,43,73,40,0.0,66,4.8,49,8.1
2012-01-01 12:00:00,19,0.47,3.2,7.4,11,43,84,42,0.0,66,4.6,56,7.5
2012-01-01 13:00:00,18,0.49,3.1,9.5,13,43,90,44,0.0,66,7.4,51,10
2012-01-01 14:00:00,18,0.45,2,6.7,8.7,47,93,51,0.0,67,4.6,48,7.4
2012-01-01 15:00:00,17,0.38,2.4,8.7,11,44,89,51,0.0,65,3.9,42,7.1
2012-01-01 16:00:00,17,0.39,1.9,11,13,43,81,50,0.0,66,4.1,48,6.7
2012-01-01 17:00:00,16,0.41,1.3,13,15,42,77,52,0.0,68,4.4,39,7.4
2012-01-01 18:00:00,15,0.43,1.5,17,19,36,79,57,0.0,69,5.5,38,7.1
2012-01-01 19:00:00,15,0.42,1.8,17,19,36,76,58,0.0,70,5.3,37,6.6
2012-01-01 20:00:00,15,0.41,1.4,16,18,36,73,56,0.0,70,5.1,42,6.6
2012-01-01 21:00:00,15,0.44,1.6,16,18,36,75,55,0.0,71,5.2,42,6
2012-01-01 22:00:00,15,0.44,1.5,15,17,37,77,58,0.0,73,5.3,42,6.2
2012-01-01 23:00:00,14,0.46,1.5,16,17,36,83,65,0.0,73,5.9,45,5.5
2012-01-02 00:00:00,14,0.48,1.5,15,17,35,90,70,0.0,72,6.1,43,6.4
2012-01-02 01:00:00,14,0.48,1.3,12,13,35,89,70,0.0,69,5.6,43,5.5
2012-01-02 02:00:00,14,0.47,1.5,11,12,32,90,64,0.0,68,6.5,43,5.4
2012-01-02 03:00:00,14,0.48,0.6,15,15,29,89,63,0.0,68,7.7,43,4.9
2012-01-02 04:00:00,15,0.49,0.7,11,12,31,88,69,0.0,66,6.7,44,5.7
2012-01-02 05:00:00,15,0.45,0.7,11,12,33,89,65,0.0,64,6.7,42,6
2012-01-02 06:00:00,15,0.43,0.7,11,12,34,86,58,0.0,63,5.8,40,5.3
2012-01-02 07:00:00,15,0.49,1.7,16,18,29,86,58,0.0,64,6.1,42,5.1
2012-01-02 08:00:00,15,0.49,2.3,16,18,31,87,59,0.0,64,4.7,39,4.3
