datetime,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SHELT_TEMP,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2008-01-01 00:00:00,二林,12.03,0.33,0.22,13.62,13.84,24.2,72,34,0.0,57.64,27.16,5.5,38.73,37.75,4.86,5.11
2008-01-01 01:00:00,二林,12.14,0.32,0.4,11.59,11.99,25.2,73,36,0.0,56.89,27.11,5.7,37.95,40.69,5.01,4.86
2008-01-01 02:00:00,二林,12.28,0.3,0.28,11.18,11.46,24.6,69,33,0.0,56.87,27.14,6.5,39.58,42.53,5.15,4.58
2008-01-01 03:00:00,二林,12.39,0.29,0.76,10.72,11.48,25.1,65,33,0.0,55.15,27.09,6.3,40.49,43.11,5.03,4.55
2008-01-01 04:00:00,二林,12.31,0.3,0.55,10.68,11.23,25.7,64,32,0.0,55.72,27.09,6.6,39.29,40.58,6.43,4.82
2008-01-01 05:00:00,二林,12.29,0.28,0.63,9.62,10.25,28.7,69,32,0.0,52.98,27.06,5.9,38.44,36.56,7.4,6.52
2008-01-01 06:00:00,二林,12.19,0.26,0.75,8.06,8.81,29.2,67,27,0.0,53.07,27.15,5.2,39.71,40.21,6.78,6.23
2008-01-01 07:00:00,二林,12.26,0.26,0.67,7.87,8.54,29.6,73,25,0.0,53.39,27.27,5,40.03,42.65,6.43,5.86
2008-01-01 08:00:00,二林,12.64,0.26,1.46,8.57,10.03,28.8,73,27,0.0,53.37,27.29,5.5,37.32,37.32,6.85,6.09
2008-01-01 09:00:00,二林,14.15,0.27,2.11,8.5,10.61,30.5,76,32,0.0,50.18,27.36,5.9,40.47,45.21,6.05,5.52
2008-01-01 10:00:00,二林,15.32,0.28,2.36,8.69,11.05,32.2,71,34,0.0,47.01,27.46,6.3,43.32,39.95,7.04,5.28
2008-01-01 11:00:00,二林,16.48,0.41,3.77,12.16,15.94,36.6,84,30,0.0,42.97,27.43,7.7,44.1,43.96,6.48,5.88
2008-01-01 12:00:00,二林,17.16,0.51,1.84,10.16,12,43.1,110,47,0.0,41.69,27.66,6.6,48,42.91,6.32,5.42
2008-01-01 13:00:00,二林,17.31,0.39,2.11,10.81,12.92,41.8,123,50,0.0,43.59,27.57,7.5,51,43.24,7.13,3.64
2008-01-01 14:00:00,二林,16.63,0.41,2.95,12.34,15.29,41.3,147,59,0.0,47.57,27.59,8,57.15,55.16,6.72,4.22
2008-01-01 15:00:00,二林,15.65,0.49,2.9,13.55,16.44,37.6,143,51,0.0,49.61,27.42,7.9,55.24,53.33,6.16,4.56
2008-01-01 16:00:00,二林,14.57,0.46,1.2,13.42,14.62,33.8,138,52,0.0,51.12,27.33,7.5,52.01,46.22,6.17,4.21
2008-01-01 17:00:00,二林,13.44,0.46,0.75,16.1,16.84,28.3,113,54,0.0,53.33,27.21,8.1,44.73,42.95,5.55,4.64
2008-01-01 18:00:00,二林,12.58,0.45,0.43,18.56,18.99,23.8,98,51,0.0,54.84,27.21,8.5,42.41,39,4.84,4.66
2008-01-01 19:00:00,二林,11.83,0.43,0.45,18.05,18.5,23.6,96,52,0.0,56.33,27.18,8.2,47.38,42.86,5.04,3.85
2008-01-01 20:00:00,二林,11.36,0.39,0.61,15.21,15.83,25.8,86,49,0.0,56.59,27.13,8.1,73.62,56.55,6.16,2.6
2008-01-01 21:00:00,二林,11.12,0.32,0.54,13.06,13.6,28.5,76,37,0.0,53.53,27.19,6.9,45.8,41.84,5.76,4.96
2008-01-01 22:00:00,二林,11.05,0.29,0.45,10.91,11.36,30.8,70,36,0.0,53.14,27.29,7.1,39.22,35.27,5.94,5.48
2008-01-01 23:00:00,二林,10.97,0.3,0.31,9.73,10.04,30.8,65,28,0.0,53.29,27.2,7.5,38.02,39.63,5.44,5.35
2008-01-02 00:00:00,二林,10.82,0.31,0.39,9.53,9.92,29.6,68,30,0.0,54.41,27.07,7.8,38.13,39.83,4.68,4.49
2008-01-02 01:00:00,二林,10.59,0.31,0.58,9.08,9.66,28.9,68,26,0.0,54.56,27,7.2,36.92,38.56,3.98,4.11
2008-01-02 02:00:00,二林,10.52,0.32,0.28,8.57,8.85,28.4,73,33,0.0,55.88,27.01,7.9,37.61,37.07,4.46,3.8
2008-01-02 03:00:00,二林,10.46,0.32,1.15,7.02,8.17,27.6,64,32,0.0,57.97,26.97,7.6,38.68,44.77,4.31,3.81
2008-01-02 04:00:00,二林,10.43,0.36,0.92,7.94,8.86,26,72,35,0.0,58.39,26.99,9.6,38,36.9,4.53,4.08
2008-01-02 05:00:00,二林,10.4,0.36,0.86,7.96,8.82,25.3,66,29,0.0,57.74,27,10.1,41.17,43.34,4.97,4.32
2008-01-02 06:00:00,二林,10.38,0.4,1.01,8.2,9.21,24.6,81,32,0.0,57.09,26.99,11,39.03,39.7,5.11,4.54
2008-01-02 07:00:00,二林,10.69,0.45,1.74,10.46,12.2,23.1,72,37,0.0,55.46,27.09,12.2,38.9,38.72,5.13,4.74
2008-01-02 08:00:00,二林,11.88,0.44,3.28,12.66,15.95,22.7,83,44,0.0,52.93,27.27,11.4,39.92,39.24,6.17,5.4
2008-01-02 09:00:00,二林,13.55,0.4,5.2,13.81,19.01,23.9,89,48,0.0,49.65,27.32,11.4,41.26,47.09,5.23,5.05
2008-01-02 10:00:00,二林,15.38,0.4,5.87,14.19,20.05,27.1,89,47,0.0,46.41,27.48,10.2,44.91,50.04,4.75,4.08
2008-01-02 11:00:00,二林,16.69,0.46,6.86,17.4,24.26,29.8,97,49,0.0,45.08,27.51,10.8,50.78,83.75,5.38,2.9
2008-01-02 12:00:00,二林,17.66,0.46,,,,33.8,0#,0#,0.0,44.89,27.67,10.3,66.36,78.94,5.45,2.34
2008-01-02 13:00:00,二林,17.62,0.49,,,,33.8,135,54,0.0,48.12,27.6,12.3,92.67,103.17,7.36,1.37
2008-01-02 14:00:00,二林,17.41,0.48,3.3#,17.57#,20.87#,32.9,153,57,0.0,50.48,27.52,10.3,66.92,52.61,5.62,2.48
2008-01-02 15:00:00,二林,16.86,0.49,2.78,18.09,20.87,35.7,154,53,0.0,51.18,27.52,10,62.82,57.28,5.9,2.96
2008-01-02 16:00:00,二林,15.74,0.44,1.72,18.08,19.8,33,146,58,0.0,53.55,27.37,7.6,61.56,77.89,4.99,2.66
2008-01-02 17:00:00,二林,14.44,0.43,0.76,21.13,21.9,26.3,123,55,0.0,55.57,27.26,7.2,70.41,79.92,4.08,1.95
2008-01-02 18:00:00,二林,13.45,0.45,0.53,26.75,27.28,16.8,97,58,0.0,58.82,27.14,6.9,48.34,44.72,3.79,2.79
2008-01-02 19:00:00,二林,12.75,0.42,0.6,28.61,29.21,11.5,87,54,0.0,61.71,27.18,6.6,41.91,38.68,4.16,3.37
2008-01-02 20:00:00,二林,12.09,0.4,0.67,23.06,23.73,13.4,86,53,0.0,63.6,27.11,5.5,43.57,48.49,2.62,2.35
2008-01-02 21:00:00,二林,11.47,0.4,1.26,30.38,31.65,7.9,84,50,0.0,65.47,27.14,6.9,56.62,68.83,2.61,1.51
2008-01-02 22:00:00,二林,11.17,0.41,1.09,28.86,29.94,7.3,85,52,0.0,67.18,27.22,5.5,40.83,37.68,2.45,2.12
2008-01-02 23:00:00,二林,10.9,0.41,0.79,21.04,21.83,12.3,80,47,0.0,68.8,27.11,4.1,38.01,40.92,2.64,2.18
2008-01-03 00:00:00,二林,10.79,0.39,0.8,17.23,18.03,14.6,85,45,0.0,69.82,27.14,3.7,42.21,55.92,2.33,1.99
2008-01-03 01:00:00,二林,11.16,0.36,0.72,15.6,16.32,15.7,80,39,0.0,69.07,27.04,4.5,39.21,40.76,3.1,2.49
2008-01-03 02:00:00,二林,11.69,0.35,0.98,14.14,15.12,16.6,77,41,0.0,67.06,27.1,4.8,39.18,40.86,3.14,2.78
2008-01-03 03:00:00,二林,11.71,0.33,1.78,10.5,12.28,18.1,76,44,0.0,67.38,27.06,4.4,39.89,40.6,2.65,2.67
2008-01-03 04:00:00,二林,11.29,0.32,1.52,9.78,11.3,18,70,43,0.0,68.97,27.08,3,42.07,39.25,2.17,1.95
2008-01-03 05:00:00,二林,11.01,0.32,1.51,10.33,11.84,17,64,38,0.0,70.44,27.08,3.1,43.73,43.96,2.52,1.29
2008-01-03 06:00:00,二林,10.97,0.33,1.58,12.08,13.66,15.3,65,35,0.0,71.46,27.12,2,39.1,42.67,1.99,2
2008-01-03 07:00:00,二林,11.38,0.37,3.47,16.11,19.58,12.4,69,36,0.0,70.94,27.22,3.4,64.38,40.52,1.75,1.02
2008-01-03 08:00:00,二林,13.47,0.46,9.94,19.25,29.19,12.2,73,42,0.0,67.02,27.3,5.5,40.77,44.39,2.71,1.57
2008-01-03 09:00:00,二林,16.2,0.51,10.44,20,30.44,18.7,73,51,0.0,59.64,27.52,7.3,42,38.93,2.62,1.6
2008-01-03 10:00:00,二林,18.44,0.49,9.12,22.94,32.06,27.3,80,59,0.0,53.88,27.76,6.8,15.13,335.56,2.27,1.09
2008-01-03 11:00:00,二林,19.94,0.41,5.91,18.76,24.67,37.9,89,64,0.0,51.45,27.86,6.9,320.07,349.87,2.87,1.42
2008-01-03 12:00:00,二林,20.62,0.45,5.85,20.4,26.25,43.1,89,64,0.0,52.36,28.01,9.9,330.31,309.23,3.95,0.84
2008-01-03 13:00:00,二林,20.89,0.41,3.16,14.55,17.71,56.2,83,59,0.0,53.25,27.72,7.3,327.13,41.51,3.64,0.82
2008-01-03 14:00:00,二林,20.39,0.32,2.08,9.94,12.02,60.7,81,51,0.0,56.24,27.63,4.1,279.22,226.42,4.34,0.42
2008-01-03 15:00:00,二林,19.58,0.25,1.97,8.32,10.29,51.8,73,37,0.0,61.77,27.64,3,132.56,49.99,5.01,0.26
2008-01-03 16:00:00,二林,18.5,0.25,1.77,10.43,12.2,40.1,75,33,0.0,67.21,27.56,3.4,121.67,149.44,5.01,0.96
2008-01-03 17:00:00,二林,17.54,0.24,1.76,10.01,11.77,34.6,65,34,0.0,72.09,27.4,2.4,179.94,139.11,4.28,0.6
2008-01-03 18:00:00,二林,16.92,0.25,1.79,11.8,13.59,29.5,73,39,0.0,75.63,27.24,2.4,83.67,38.1,2.08,0.59
2008-01-03 19:00:00,二林,16.41,0.29,1.33,20.93,22.26,18.1,69,35,0.0,76.14,27.25,2.9,48.92,51.16,2.48,1.65
2008-01-03 20:00:00,二林,15.93,0.34,1.52,29.57,31.09,8.3,75,38,0.0,76,27.23,3.4,44.01,35.61,1.6,1.35
2008-01-03 21:00:00,二林,15.35,0.4,4.17,34.95,39.12,1.7,71,36,0.0,76.19,27.25,4.1,45.08,45.11,1.95,0.54
2008-01-03 22:00:00,二林,14.67,0.44,15.86,34.4,50.26,1.2,65,38,0.0,77.78,27.26,5.7,49.97,35.22,1.09,1
2008-01-03 23:00:00,二林,13.72,0.47,22.53,31.96,54.5,1.2,64,39,0.0,81.13,27.2,3.8,42.47,42.04,1.88,1.62
2008-01-04 00:00:00,二林,,,,,,,,,,,,,,,,
2008-01-04 01:00:00,二林,,,,,,,,,,,,,,,,
2008-01-04 02:00:00,二林,,,,,,,,,,,,,,,,
2008-01-04 03:00:00,二林,,,,,,,,,,,,,,,,
2008-01-04 04:00:00,二林,,,,,,,,,,,,,,,,
2008-01-04 05:00:00,二林,,,,,,,,,,,,,,,,
2008-01-04 06:00:00,二林,,,,,,,,,,,,,,,,
2008-01-04 07:00:00,二林,,,,,,,,,,,,,,,,
2008-01-04 08:00:00,二林,15.72#,.4#,9.95#,17.39#,27.34#,12.4#,44,30,0#,79.76#,27.47#,2.7#,43.11#,37.88#,2.98#,2.38#
2008-01-04 09:00:00,二林,17.34,0.39,9.6,17.83,27.43,18.8,57,43,0.0,72.14,27.64,4.1,39.04,50.42,2.22,0.9
2008-01-04 10:00:00,二林,19.48,0.44,18.18,25.71,43.9,16.3,59,47,0.0,64.95,27.83,9.2,330.48,315.28,2.89,1.26
2008-01-04 11:00:00,二林,20.53,0.53,23.37,31.69,55.06,15.5,63,42,0.0,61.62,27.96,16.5,322.81,316.32,3.7,1.79
2008-01-04 12:00:00,二林,21.18,0.44,11.07,25.28,36.34,28.7,57,35,0.0,59.62,28.02,14,314.52,309.97,4.72,0.68
2008-01-04 13:00:00,二林,21.32,0.31,3.88,12.15,16.03,48,55,29,0.0,60.34,27.77,4.6,52.39,210.62,5.9,0.13
2008-01-04 14:00:00,二林,21.03,0.24,2.22,8.11,10.34,51.8,55,29,0.0,64.32,27.7,2.7,87.38,65.66,5.77,0.84
2008-01-04 15:00:00,二林,19.97,0.23,2.57,9.75,12.32,41.4,58,29,0.0,69.38,27.65,3.5,83.99,45.54,5.7,0.69
2008-01-04 16:00:00,二林,18.86,0.22,1.98,9.05,11.03,37.5,57,20,0.0,73.71,27.54,2.8,97.26,99.64,4.86,2.11
2008-01-04 17:00:00,二林,17.77,0.24,1.53,7.44,8.97,36,49,18,0.0,79.03,27.42,2.1,71.51,54.05,3.53,1.82
2008-01-04 18:00:00,二林,17.19,0.28,1.27,9.97,11.24,31.6,52,17,0.0,82.34,27.27,2.1,62.33,44.98,2.47,1.56
2008-01-04 19:00:00,二林,16.77,0.27,1.45,11.44,12.89,27.8,48,21,0.0,83.98,27.35,1.6,61.1,81.69,2.47,1.15
2008-01-04 20:00:00,二林,16.49,0.25,1.52,13.32,14.84,22.7,53,26,0.0,85.33,27.22,1.1,49.35,39.69,2.37,1.51
2008-01-04 21:00:00,二林,16.17,0.28,1.6,19.18,20.78,13.8,50,26,0.0,86.4,27.29,0.8,40.97,45.41,2.21,2.18
2008-01-04 22:00:00,二林,15.76,0.32,1.31,14.64,15.95,13.6,55,30,0.0,86.77,27.28,1.5,43.81,50.2,2.12,1.51
2008-01-04 23:00:00,二林,15.32,0.34,1.68,14.35,16.03,12.2,54,30,0.0,87.43,27.24,1.8,54.08,244.95,1.91,0.55
2008-01-05 00:00:00,二林,14.86,0.32,2.09,21.76,23.85,5.4,54,33,0.0,88.4,27.33,1.7,45.05,43.29,1.8,1.21
2008-01-05 01:00:00,二林,14.79,0.33,5.95,25.57,31.52,1,57,34,0.0,89.15,27.18,2.1,48.67,48.73,2.46,1.39
2008-01-05 02:00:00,二林,15.06,0.35,6.56,24.45,31.01,1.8,56,32,0.0,88.98,27.21,2,41.08,37.59,2.13,2.26
2008-01-05 03:00:00,二林,14.87,0.37,1.45,18.93,20.39,2.7,54,33,0.0,89.52,27.2,1.4,41.89,43.36,2.01,1.54
2008-01-05 04:00:00,二林,14.99,0.38,1.11,18.86,19.97,2,59,38,0.0,89.19,27.23,2,31.56,34.6,2.46,0.94
2008-01-05 05:00:00,二林,15.19,0.41,14.1,20.97,35.07,4,65,42,0.0,88.72,27.22,2.5,40.49,260.9,2.35,1.84
2008-01-05 06:00:00,二林,15.88,0.41,4.56,23.24,27.8,4.3,64,41,0.0,85.86,27.19,3.8,51.86,62.03,3.37,1.69
2008-01-05 07:00:00,二林,16.74,0.37,3.32,19.88,23.19,11.2,63,38,0.0,82.63,27.32,4.1,33.11,43.84,4.16,1.63
2008-01-05 08:00:00,二林,17.95,0.27,3.98,15.46,19.44,22.9,55,43,0.0,79.05,27.52,3.7,40.69,36.77,5.56,4.27
2008-01-05 09:00:00,二林,19.55,0.25,3.9,12.27,16.17,29.8,58,43,0.0,71.92,27.67,3.5,41.37,37.14,5.39,4.66
2008-01-05 10:00:00,二林,21,0.28,4.43,12.93,17.36,33.2,62,44,0.0,66.52,27.87,3.9,43.43,54.94,3.77,3.46
2008-01-05 11:00:00,二林,21.36,0.36,3.84,13.55,17.39,38.1,76,44,0.0,66.66,27.95,4.8,61.93,78.38,5.03,0.68
2008-01-05 12:00:00,二林,21.6,0.33,3.29,12.31,15.6,43.7,88,48,0.0,65.61,28.07,5,95.82,121.31,6.47,0.75
2008-01-05 13:00:00,二林,21.64,0.32,2.95,12.58,15.53,47.4,88,48,0.0,63.73,27.69,5.8,100.61,119.48,5.51,0.74
2008-01-05 14:00:00,二林,21.38,0.33,2.46,12.98,15.44,48.5,91,34,0.0,63.97,27.78,5.3,60.42,93.54,5.8,2
