datetime,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2009-01-01 00:00:00,二林,13.04,0.31,0.51,12.2,12.7,27.4,53,48,0.0,67.2,6,40.79,43.24,4.17,4.97
2009-01-01 01:00:00,二林,12.72,0.26,0.5,11.83,12.33,27.9,64,47,0.0,65,6.3,39.57,39.68,4.99,4.95
2009-01-01 02:00:00,二林,12.79,0.28,0.5,11.44,11.94,28.2,52,46,0.0,62.91,7.6,40.24,47.86,5.56,5.14
2009-01-01 03:00:00,二林,12.42,0.33,0.08,12.38,12.46,25.4,59,51,0.0,63.74,8.4,41.56,42.33,5.39,5.37
2009-01-01 04:00:00,二林,12.04,0.33,0.37,12.67,13.04,23.8,81,61,0.0,63.54,7.6,38.77,39.17,7.03,6.1
2009-01-01 05:00:00,二林,11.65,0.21,0.28,10.44,10.73,26.6,72,52,0.0,62.04,5.7,39.59,36.5,7.71,6.91
2009-01-01 06:00:00,二林,11.36,0.19,0.22,8.63,8.85,28.3,57,45,0.0,60.52,5.3,41.87,41.85,7.18,6.82
2009-01-01 07:00:00,二林,11.54,0.2,0.83,9.23,10.07,28.2,60,31,0.0,58.94,5.9,41.48,42.36,7.57,7.18
2009-01-01 08:00:00,二林,12.38,0.2,1.71,8.94,10.65,30,58,41,0.0,55.88,6.4,40.52,43.42,7.37,7.44
2009-01-01 09:00:00,二林,13.62,0.18,1.84,7.93,9.77,33.7,57,30,0.0,51.53,5.7,42.11,45.63,7.26,7.85
2009-01-01 10:00:00,二林,14.79,0.19,1.92,8.14,10.06,36.6,46,32,0.0,48.2,5.6,43.67,43.07,8.17,7.52
2009-01-01 11:00:00,二林,15.57,0.19,2.04,8.84,10.88,38.8,45,24,0.0,46.58,5.7,44.28,42.57,7.88,6.63
2009-01-01 12:00:00,二林,16.21,0.18,1.91,9.22,11.14,42.4,48,34,0.0,46.01,5.4,50.76,59.28,7.09,5.66
2009-01-01 13:00:00,二林,16.27,0.17,1.71,9.31,11.02,43.3,63,39,0.0,50.03,4.4,49.79,57.67,7.65,5.89
2009-01-01 14:00:00,二林,15.7,0.16,1.93,9.96,11.89,41.2,73,36,0.0,51.24,4.5,48.63,46.43,7.45,6.09
2009-01-01 15:00:00,二林,14.92,0.14,1.44,9.14,10.59,40.8,81,35,0.0,52.45,3.2,43.3,44.94,6.01,6.17
2009-01-01 16:00:00,二林,14.11,0.15,0.88,10.43,11.31,37.5,75,35,0.0,51.3,2.8,41.7,40.1,6.65,5.62
2009-01-01 17:00:00,二林,12.91,0.18,0.45,11.69,12.14,33.5,62,44,0.0,52.94,2.8,40.2,47.58,5.16,5.36
2009-01-01 18:00:00,二林,11.91,0.2,0.36,13.72,14.08,27.6,58,37,0.0,57.43,3.3,42.18,40.42,6.35,5.58
2009-01-01 19:00:00,二林,11.4,0.2,0.46,13.45,13.91,26.3,56,32,0.0,58.51,3.8,39.45,34.38,6.95,5.75
2009-01-01 20:00:00,二林,11.29,0.2,0.61,12.54,13.15,25.8,58,31,0.0,59.81,4.4,41.56,44.46,6.49,6.34
2009-01-01 21:00:00,二林,11.28,0.19,0.47,11.5,11.97,25.7,53,40,0.0,59.83,4.6,43.13,40.03,5.62,5.87
2009-01-01 22:00:00,二林,11.19,0.21,0.36,12.35,12.71,23.7,48,44,0.0,59.92,4.8,43.75,42.75,4.97,5.4
2009-01-01 23:00:00,二林,11.23,0.24,0.38,12.44,12.82,22.9,56,42,0.0,59.98,6,42.75,43.83,5.23,5.42
2009-01-02 00:00:00,二林,11.4,0.23,0.46,12.22,12.68,22.8,60,44,0.0,60.39,6.3,43.29,41.85,5.19,4.82
2009-01-02 01:00:00,二林,11.28,0.2,0.36,10.92,11.28,24,61,34,0.0,61.43,5.9,42.95,43.19,5.02,4.45
2009-01-02 02:00:00,二林,11.35,0.18,0.57,9.99,10.56,24.8,54,36,0.0,62.04,5.2,44.01,43.75,4.51,4.55
2009-01-02 03:00:00,二林,11.45,0.16,0.5,8.52,9.03,26.3,42,30,0.0,62.12,4.1,43.01,41.18,4.43,4.25
2009-01-02 04:00:00,二林,11.19,0.16,0.49,8.46,8.95,25.7,42,43,0.0,63.82,3.1,42.13,44.18,5.46,4.9
2009-01-02 05:00:00,二林,11.26,0.13,0.51,8.61,9.12,24.9,38,36,0.0,64.57,2.7,43.7,41.49,5.58,5.21
2009-01-02 06:00:00,二林,11.4,0.11,0.54,8.62,9.17,25.1,35,35,0.0,63.87,2.6,39.18,43.68,5.05,5.28
2009-01-02 07:00:00,二林,11.68,0.11,0.85,8.73,9.57,25.2,36,30,0.0,63.09,2.5,44.42,42.7,6.04,5.12
2009-01-02 08:00:00,二林,12.73,0.1,1.35,8.86,10.21,26.1,40,35,0.0,60.1,2.7,42.91,43.17,6.37,6.14
2009-01-02 09:00:00,二林,14.07,0.09,2.02,8.71,10.73,28,44,30,0.0,57.57,2.5,42.89,43.87,5.88,6.18
2009-01-02 10:00:00,二林,15.66,0.1,2.21,8.33,10.54,30.9,0#,0#,0.0,54.31,2.2,42.47,43.06,6.75,6.25
2009-01-02 11:00:00,二林,17.3,0.1,2.44,7.28,9.72,33.4,40,24,0.0,50.22,1.8,42.38,46.08,5.57,5.92
2009-01-02 12:00:00,二林,18.19,0.11,2.33,7.43,9.76,36.6,54,27,0.0,50.14,1.8,42.53,49.33,5.67,5.58
