datetime,station,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
2016-12-01 00:00:00,6,23.14,21.79,22.19,21.45,21.75,21.34
2016-12-01 01:00:00,6,19.30,20.31,21.03,20.37,20.12,19.52
2016-12-01 02:00:00,6,24.67,24.55,23.27,22.51,22.27,21.42
2016-12-01 03:00:00,6,16.91,17.65,17.67,18.89,18.09,18.47
2016-12-01 04:00:00,6,22.31,20.26,20.37,19.28,20.10,21.01
2016-12-01 05:00:00,6,25.88,24.06,23.68,23.00,23.55,21.84
2016-12-01 06:00:00,6,23.86,23.03,22.99,24.11,23.59,26.88
2016-12-01 07:00:00,6,23.37,24.47,26.15,24.38,26.32,26.45
2016-12-01 08:00:00,6,17.42,21.87,23.06,23.53,24.42,25.27
2016-12-01 09:00:00,6,22.13,22.73,24.11,24.37,25.32,25.63
2016-12-01 10:00:00,6,17.34,19.67,21.24,22.44,22.16,20.96
2016-12-01 11:00:00,6,21.42,22.43,22.13,23.48,21.88,21.30
2016-12-01 12:00:00,6,19.47,20.71,21.54,21.11,20.89,19.85
2016-12-01 13:00:00,6,23.79,23.06,21.86,21.48,21.97,20.28
2016-12-01 14:00:00,6,22.06,20.52,21.23,20.67,20.38,19.21
2016-12-01 15:00:00,6,18.40,18.38,18.54,18.37,17.85,16.46
2016-12-01 16:00:00,6,16.64,16.31,15.59,16.52,16.61,15.95
2016-12-01 17:00:00,6,17.21,17.00,17.12,16.79,16.54,17.12
2016-12-01 18:00:00,6,16.86,16.46,16.21,15.53,16.37,16.11
2016-12-01 19:00:00,6,16.44,15.92,15.70,16.40,16.07,16.25
2016-12-01 20:00:00,6,13.62,14.02,14.04,14.40,14.75,14.10
2016-12-01 21:00:00,6,15.77,16.05,15.61,15.22,15.11,15.27
2016-12-01 22:00:00,6,14.10,14.28,13.69,13.34,13.16,12.59
2016-12-01 23:00:00,6,15.66,14.42,13.71,13.44,14.02,14.26
2016-12-02 00:00:00,6,12.45,12.47,12.21,12.25,12.10,12.64
2016-12-02 01:00:00,6,12.92,12.71,12.85,12.29,13.48,12.89
2016-12-02 02:00:00,6,11.11,11.31,11.65,10.99,11.95,11.69
2016-12-02 03:00:00,6,10.21,11.40,10.99,10.30,10.74,12.72
2016-12-02 04:00:00,6,10.72,11.29,11.09,10.50,13.18,13.25
2016-12-02 05:00:00,6,13.52,13.03,12.50,14.26,14.96,17.39
2016-12-02 06:00:00,6,13.60,13.67,14.74,15.24,17.06,19.26
2016-12-02 07:00:00,6,14.31,16.29,16.17,17.81,19.46,20.80
2016-12-02 08:00:00,6,7.59,11.56,15.94,17.61,17.64,17.41
2016-12-02 09:00:00,6,8.17,12.00,16.06,15.50,15.42,19.37
2016-12-02 10:00:00,6,15.02,15.97,17.99,18.40,20.05,20.79
2016-12-02 11:00:00,6,19.82,20.43,19.17,22.57,22.28,23.99
2016-12-02 12:00:00,6,21.37,21.75,22.73,22.60,24.11,24.72
2016-12-02 13:00:00,6,23.73,23.37,23.41,24.02,24.96,24.59
2016-12-02 14:00:00,6,27.57,25.85,26.46,26.56,25.60,26.13
2016-12-02 15:00:00,6,21.89,22.62,23.36,22.39,22.35,20.56
2016-12-02 16:00:00,6,22.67,23.48,22.68,22.12,21.41,20.37
2016-12-02 17:00:00,6,20.05,19.85,19.83,18.89,19.71,18.19
2016-12-02 18:00:00,6,24.17,24.09,21.83,21.38,21.59,22.33
2016-12-02 19:00:00,6,23.37,21.56,21.92,21.24,22.11,22.19
2016-12-02 20:00:00,6,23.46,23.03,21.55,22.08,21.17,20.38
2016-12-02 21:00:00,6,23.89,23.26,22.87,22.61,20.39,18.99
2016-12-02 22:00:00,6,15.41,18.44,17.49,17.28,16.74,17.01
2016-12-02 23:00:00,6,11.68,14.21,14.74,14.02,14.26,13.28
2016-12-03 00:00:00,6,9.70,10.95,12.20,13.51,12.48,12.64
2016-12-03 01:00:00,6,10.27,10.96,13.07,11.93,11.84,12.46
2016-12-03 02:00:00,6,8.41,10.34,9.99,10.64,11.43,12.90
2016-12-03 03:00:00,6,7.53,9.23,9.88,9.98,11.00,11.99
2016-12-03 04:00:00,6,5.27,7.50,7.68,8.78,10.18,12.69
2016-12-03 05:00:00,6,5.33,7.35,9.82,8.79,10.39,13.48
2016-12-03 06:00:00,6,8.20,9.16,10.77,11.25,13.56,17.82
2016-12-03 07:00:00,6,8.29,10.19,11.38,13.73,16.40,18.82
2016-12-03 08:00:00,6,10.66,12.63,15.34,16.86,17.92,20.03
2016-12-03 09:00:00,6,8.57,11.93,14.54,15.42,16.57,20.48
2016-12-03 10:00:00,6,15.70,16.98,17.08,17.96,20.10,20.74
2016-12-03 11:00:00,6,21.93,20.43,20.65,21.26,20.12,20.71
2016-12-03 12:00:00,6,21.78,21.09,20.92,20.75,20.33,22.10
2016-12-03 13:00:00,6,19.74,19.73,17.81,18.28,20.44,18.50
2016-12-03 14:00:00,6,16.21,15.44,15.71,16.05,17.12,17.05
2016-12-03 15:00:00,6,15.85,14.50,15.38,15.01,17.32,15.64
2016-12-03 16:00:00,6,19.50,17.81,17.08,18.55,17.67,16.55
2016-12-03 17:00:00,6,19.14,18.86,18.90,18.46,17.96,17.95
2016-12-03 18:00:00,6,20.45,20.45,19.37,19.28,17.79,18.56
2016-12-03 19:00:00,6,19.48,19.57,18.73,18.08,19.36,17.51
2016-12-03 20:00:00,6,18.22,17.87,17.40,16.71,17.03,18.11
2016-12-03 21:00:00,6,17.19,16.48,17.01,15.74,17.32,18.23
2016-12-03 22:00:00,6,19.73,18.82,17.54,18.95,19.98,20.67
2016-12-03 23:00:00,6,25.07,23.07,23.74,23.43,25.50,25.31
2016-12-04 00:00:00,6,24.15,24.71,24.82,25.02,24.56,22.91
2016-12-04 01:00:00,6,28.51,28.42,28.07,26.64,26.27,24.77
2016-12-04 02:00:00,6,30.61,30.34,28.95,27.84,27.13,26.95
2016-12-04 03:00:00,6,31.76,30.88,30.82,28.88,29.94,31.31
2016-12-04 04:00:00,6,28.12,27.78,27.83,28.52,28.33,27.74
2016-12-04 05:00:00,6,34.10,32.55,31.85,33.55,33.10,30.94
2016-12-04 06:00:00,6,30.02,29.59,31.60,31.60,30.96,30.08
2016-12-04 07:00:00,6,31.04,29.67,31.07,29.75,30.04,29.95
2016-12-04 08:00:00,6,19.90,23.29,22.71,23.30,24.42,25.13
2016-12-04 09:00:00,6,25.16,25.30,25.41,25.32,25.84,25.66
2016-12-04 10:00:00,6,25.46,25.59,27.61,27.21,27.43,25.14
2016-12-04 11:00:00,6,32.08,29.36,30.42,28.94,30.94,30.93
2016-12-04 12:00:00,6,22.24,23.89,23.21,23.47,23.06,23.70
2016-12-04 13:00:00,6,28.43,27.13,26.94,27.10,27.14,28.65
2016-12-04 14:00:00,6,28.37,27.78,27.91,26.98,28.30,26.41
2016-12-04 15:00:00,6,28.35,27.25,26.62,27.58,25.64,25.32
2016-12-04 16:00:00,6,19.90,20.71,22.58,21.38,20.60,22.37
2016-12-04 17:00:00,6,20.47,22.50,22.34,21.20,21.64,22.24
